Molecule ChEMBL ID,Molecule Name,Smiles,Standard Value,inhibitor
CHEMBL3989843,TRANYLCYPROMINE,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1,15.5,0
CHEMBL671,THIOTEPA,S=P(N1CC1)(N1CC1)N1CC1,16.2,0
CHEMBL483,TENOFOVIR,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,23.3,0
CHEMBL1502,PANTOPRAZOLE,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,17.3,0
CHEMBL473,DOFETILIDE,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,18.1,0
CHEMBL584,NELFINAVIR,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,50.0,0
CHEMBL623,NEFAZODONE,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,61.5,1
CHEMBL222559,TIPRANAVIR,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,99.0,1
CHEMBL35,FUROSEMIDE,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,34.5,0
CHEMBL52440,DEXTROMETHORPHAN,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,15.9,0
CHEMBL141573,PREGNENOLONE SULFATE ,CC(=O)C1CCC2C3CC=C4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C,83.0,1
CHEMBL50,QUERCETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,72.6,1
CHEMBL1086218,VALSPODAR,C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,33.1,0
CHEMBL1401508,SILIBININ,COc1cc(C2Oc3cc(C4Oc5cc(O)cc(O)c5C(=O)C4O)ccc3OC2CO)ccc1O,,0
CHEMBL453904,SULFOBROMOPHTHALEIN SODIUM,O=C1OC(c2ccc(O)c(S(=O)(=O)[O-])c2)(c2ccc(O)c(S(=O)(=O)[O-])c2)c2c(Br)c(Br)c(Br)c(Br)c21.[Na+].[Na+],69.3,1
CHEMBL461101,ELTROMBOPAG,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O,,0
CHEMBL416,METHOXSALEN,COc1c2occc2cc2ccc(=O)oc12,-1.6,0
CHEMBL1648,ISRADIPINE,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,12.0,0
CHEMBL481,IRINOTECAN,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,16.3,0
CHEMBL254832,FENDILINE,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,-118.7,0
CHEMBL205596,CHOLIC ACID,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,20.2,0
CHEMBL527,PIROXICAM,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,68.3,1
CHEMBL1487,ATORVASTATIN,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,98.3,1
CHEMBL4,OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,18.4,0
CHEMBL296035,BUFURALOL,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,-7.0,0
CHEMBL932,DIPYRIDAMOLE,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,83.1,1
CHEMBL190,THEOPHYLLINE,Cn1c(=O)c2nc[nH]c2n(C)c1=O,-25.5,0
CHEMBL417799,SANGUINARIUM,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,15.0,0
CHEMBL500,PINDOLOL,CC(C)NCC(O)COc1cccc2[nH]ccc12,-10.8,0
CHEMBL106,FLUCONAZOLE,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,34.1,0
CHEMBL517,DISOPYRAMIDE,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,18.5,0
CHEMBL384467,DEXAMETHASONE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-12.5,0
CHEMBL29292,UBENIMEX,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,20.7,0
CHEMBL16,PHENYTOIN,O=C1N=C(O)NC1(c1ccccc1)c1ccccc1,11.1,0
